SID;partition;activity;potency;MolWt;LogP;MR;HeavyAtomCount;AtomCount;BondCount;NumHBA;NumHBD;NumRotatableBonds;FractionCSP3;FormalCharge;AromaticRings;AliphaticRings;AromaticAtoms;HeteroatoAromaticAtoms;ms;LabuteASA;nC;nF;nH;nN;nCl;nO;nS;nBr;nI;nP
405266912;405266912;Training;Active;8.15490195998574;291.717;2.61302;72.393;20;20;22;5;0;3;0.153846153846154;0;3;0;16;16;7;119.178392285094;13;1;11;5;1;0;0;0;0;0
405266918;405266918;Training;Active;8.14266750356873;323.278;2.71912;74.108;23;23;25;6;0;4;0.214285714285714;0;3;0;16;16;9;128.684684207969;14;3;12;5;0;1;0;0;0;0
405266896;405266896;Training;Active;8.13076828026902;336.226;3.9423;86.797;22;22;24;5;0;4;0.266666666666667;0;3;0;16;16;7;138.046007337843;15;0;15;5;2;0;0;0;0;0
405266900;405266900;Training;Active;8.11918640771921;348.237;4.0864;89.3;23;23;26;5;0;4;0.3125;0;3;1;16;16;7;143.40511829871;16;0;15;5;2;0;0;0;0;0
405266895;405266895;Training;Active;8.11350927482752;336.226;3.7714;86.703;22;22;24;5;0;5;0.266666666666667;0;3;0;16;16;7;138.046007337843;15;0;15;5;2;0;0;0;0;0
405266906;405266906;Training;Active;8.11350927482752;333.798;3.6472;86.268;23;23;25;5;0;6;0.3125;0;3;0;16;16;7;138.273218628284;16;1;17;5;1;0;0;0;0;0
381749695;381749695;Training;Active;8.09691001300806;525.644;4.3493;144.4724;38;38;43;6;2;10;0.551724137931034;0;3;3;15;15;9;222.016694986301;29;2;37;5;0;2;0;0;0;0
405266967;405266967;Training;Active;8.09151498112135;351.332;2.2977;83.0038;25;25;27;6;1;6;0.3125;0;3;0;16;16;9;141.095256959451;16;3;16;5;0;1;0;0;0;0
381749749;381749749;Training;Active;8.08618614761628;539.662;4.4999;138.7461;38;38;43;6;3;8;0.785714285714286;0;1;5;6;6;10;222.346050621254;28;4;41;5;0;1;0;0;0;0
381749690;381749690;Training;Active;8.07572071393812;504.666;3.874;135.6714;36;36;41;6;2;9;0.785714285714286;0;1;5;6;6;8;213.5786628613;28;2;42;4;0;2;0;0;0;0
381749737;381749737;Training;Active;8.01772876696043;480.623;3.2306;127.4511;34;34;38;6;3;8;0.8;0;1;4;6;6;9;200.562564894503;25;3;39;6;0;0;0;0;0;0
405266904;405266904;Training;Active;8.00877392430751;319.771;3.2571;81.651;22;22;24;5;0;5;0.266666666666667;0;3;0;16;16;7;131.908276513888;15;1;15;5;1;0;0;0;0;0
312369706;312369706;Training;Active;8;533.519;6.67610000000001;146.8291;36;36;39;2;3;9;0.464285714285714;0;3;1;15;15;8;222.275828720487;28;1;35;4;2;1;0;0;0;0
405266945;405266945;Training;Active;7.95860731484177;335.333;3.7122;81.692;24;24;26;5;0;5;0.3125;0;3;0;16;16;8;136.301023207255;16;3;16;5;0;0;0;0;0;0
405266933;405266933;Training;Active;7.94309514866353;337.305;2.9731;78.749;24;24;26;6;0;5;0.266666666666667;0;3;0;16;16;9;135.049626322365;15;3;14;5;0;1;0;0;0;0
405266917;405266917;Training;Active;7.92445303860747;341.724;3.49272;77.437;23;23;25;5;0;3;0.214285714285714;0;3;0;16;16;9;133.874405205343;14;3;11;5;1;0;0;0;0;0
405266926;405266926;Training;Active;7.90657831483776;313.792;3.35132;84.41;22;22;25;5;0;4;0.3125;0;3;1;16;16;6;133.101852071829;16;0;16;5;1;0;0;0;0;0
439657873;439657873;Training;Active;7.90308998699194;527.651;3.3951;135.5559;37;37;41;6;4;9;0.777777777777778;0;1;4;6;6;10;216.667628183076;27;4;41;5;0;1;0;0;0;0
405266936;405266936;Training;Active;7.86966623150499;319.771;2.98592;82.114;22;22;24;5;0;5;0.266666666666667;0;3;0;16;16;7;131.908276513888;15;1;15;5;1;0;0;0;0;0
378171166;378171166;Training;Active;7.85387196432176;390.413;3.4907;99.9164;28;28;31;5;2;6;0.421052631578947;0;3;1;15;15;9;159.758274045384;19;3;21;6;0;0;0;0;0;0
405266949;405266949;Training;Active;7.83863199776503;337.305;2.1236;78.3928;24;24;26;6;1;6;0.266666666666667;0;3;0;16;16;9;134.730314845054;15;3;14;5;0;1;0;0;0;0
381749713;381749713;Training;Active;7.82390874094432;517.709;4.2972;143.2831;37;37;42;6;3;10;0.793103448275862;0;1;5;6;6;8;220.379921929798;29;2;45;5;0;1;0;0;0;0
386051278;386051278;Training;Active;7.82390874094432;343.442;4.5699;97.5930000000001;25;25;27;3;0;6;0.428571428571429;0;2;1;12;12;4;148.919604733745;21;1;26;1;0;2;0;0;0;0
405266925;405266925;Training;Active;7.82102305270683;297.337;2.83702;79.358;22;22;25;5;0;4;0.3125;0;3;1;16;16;6;126.964121247873;16;1;16;5;0;0;0;0;0;0
405266951;405266951;Training;Active;7.81247927916354;349.772;3.9805;84.63;24;24;27;5;0;5;0.3125;0;3;1;16;16;8;141.432922877681;16;2;14;5;1;0;0;0;0;0
405266937;405266937;Training;Active;7.79860287567955;279.347;2.69792;79.4;21;21;24;5;0;4;0.3125;0;3;1;16;16;5;122.798585844947;16;0;17;5;0;0;0;0;0;0
405266943;405266943;Training;Active;7.79048498545737;333.317;3.4662;79.578;24;24;27;5;0;5;0.3125;0;3;1;16;16;8;135.295192053726;16;3;14;5;0;0;0;0;0;0
405266901;405266901;Training;Active;7.76447155309245;338.198;2.3537;83.4978;22;22;24;6;1;5;0.214285714285714;0;3;0;16;16;8;136.475298975642;14;0;13;5;2;1;0;0;0;0
405266919;405266919;Training;Active;7.7594507517174;307.279;2.83932;72.427;22;22;24;5;0;3;0.214285714285714;0;3;0;16;16;8;123.571138978462;14;3;12;5;0;0;0;0;0;0
131278974;131278974;Training;Active;7.7594507517174;423.539;1.609;112.6839;29;29;31;7;2;8;0.578947368421053;0;2;1;10;10;10;171.33372613084;19;0;29;5;0;4;1;0;0;0
405266897;405266897;Training;Active;7.74714696902011;334.21;3.6963;84.683;22;22;25;5;0;4;0.266666666666667;0;3;1;16;16;7;137.040176184314;15;0;13;5;2;0;0;0;0;0
104011334;104011334;Training;Active;7.72124639904717;401.532;2.89892;111.081;28;28;30;5;1;7;0.428571428571429;0;2;1;12;12;7;166.583729143215;21;0;27;3;0;3;1;0;0;0
386051280;386051280;Training;Active;7.72124639904717;327.399;4.2814;90.6120000000001;24;24;27;3;0;4;0.4;0;2;2;12;12;4;141.548831465819;20;1;22;1;0;2;0;0;0;0
381749701;381749701;Training;Active;7.69897000433602;501.572;5.1349;131.6824;36;36;41;4;2;8;0.518518518518518;0;3;3;15;15;9;207.390791104346;27;4;31;5;0;0;0;0;0;0
103262502;103262502;Training;Active;7.67778070526608;469.585;1.8996;121.27;31;31;32;6;2;11;0.35;0;2;0;12;12;11;183.064211392534;20;0;27;3;0;6;2;0;0;0
405266911;405266911;Training;Active;7.67366413907125;291.717;2.61302;72.393;20;20;22;5;0;3;0.153846153846154;0;3;0;16;16;7;119.178392285094;13;1;11;5;1;0;0;0;0;0
378171168;378171168;Training;Active;7.61978875828839;358.396;3.0212;95.1044;26;26;29;5;2;5;0.388888888888889;0;3;1;15;15;8;149.227796528061;18;2;20;6;0;0;0;0;0;0
405266886;405266886;Training;Active;7.58838029403677;287.754;2.7279;77.076;20;20;22;5;0;4;0.214285714285714;0;3;0;16;16;6;121.377798996565;14;0;14;5;1;0;0;0;0;0
405266963;405266963;Training;Active;7.58670023591875;307.279;2.89722;72.34;22;22;24;5;0;4;0.214285714285714;0;3;0;16;16;8;123.571138978462;14;3;12;5;0;0;0;0;0;0
378171172;378171172;Training;Active;7.58502665202918;391.853;4.2796;102.3194;27;27;30;4;2;5;0.368421052631579;0;3;1;15;15;8;160.311414773996;19;2;20;5;1;0;0;0;0;0
405266902;405266902;Training;Active;7.58169870868025;340.189;3.3309;82.387;22;22;24;5;0;5;0.214285714285714;0;3;0;16;16;8;135.846600626373;14;1;12;5;2;0;0;0;0;0
405266914;405266914;Training;Active;7.57675412606319;271.299;2.26804;72.12;20;20;22;5;0;3;0.214285714285714;0;3;0;16;16;6;115.240068172609;14;1;14;5;0;0;0;0;0;0
